Year,EventName,Driver,Team,QualifyingTime (s),PointsIndex,FinishingPosition
2024,Italian Grand Prix,HUL,Haas F1 Team,80.339,0.07380073800738007,17
2024,Italian Grand Prix,ZHO,Kick Sauber,81.445,0.0,18
2024,Italian Grand Prix,STR,Aston Martin,81.013,0.08856088560885608,19
2024,Italian Grand Prix,TSU,RB,80.945,0.07749077490774908,20
2024,Azerbaijan Grand Prix,PIA,McLaren,101.686,0.6630824372759857,1
2024,Azerbaijan Grand Prix,LEC,Ferrari,101.365,0.7275985663082437,2
2024,Azerbaijan Grand Prix,RUS,Mercedes,101.874,0.43727598566308246,3
2024,Azerbaijan Grand Prix,NOR,McLaren,103.609,0.8315412186379928,4
2024,Azerbaijan Grand Prix,VER,Red Bull Racing,102.023,1.0,5
2024,Azerbaijan Grand Prix,ALO,Aston Martin,102.369,0.17921146953405018,6
2024,Azerbaijan Grand Prix,ALB,Williams,102.84,0.021505376344086023,7
2024,Azerbaijan Grand Prix,COL,Williams,102.473,0.0,8
2024,Azerbaijan Grand Prix,HAM,Mercedes,102.289,0.5519713261648745,9
2024,Azerbaijan Grand Prix,BEA,Haas F1 Team,102.968,0.021505376344086023,10
2024,Azerbaijan Grand Prix,HUL,Haas F1 Team,103.101,0.07168458781362007,11
2024,Azerbaijan Grand Prix,GAS,Alpine,103.179,0.02867383512544803,12
2024,Azerbaijan Grand Prix,RIC,RB,103.547,0.025089605734767026,13
2024,Azerbaijan Grand Prix,ZHO,Kick Sauber,104.246,0.0,14
2024,Azerbaijan Grand Prix,OCO,Alpine,104.504,0.017921146953405017,15
2024,Azerbaijan Grand Prix,BOT,Kick Sauber,103.618,0.0,16
2024,Azerbaijan Grand Prix,PER,Red Bull Racing,101.813,0.4659498207885305,17
2024,Azerbaijan Grand Prix,SAI,Ferrari,101.805,0.6164874551971327,18
2024,Azerbaijan Grand Prix,STR,Aston Martin,103.37,0.08602150537634409,19
2024,Azerbaijan Grand Prix,TSU,RB,103.035,0.07526881720430108,20
2024,Singapore Grand Prix,NOR,McLaren,89.525,0.8477508650519031,1
2024,Singapore Grand Prix,VER,Red Bull Racing,89.68,1.0,2
2024,Singapore Grand Prix,PIA,McLaren,89.64,0.726643598615917,3
2024,Singapore Grand Prix,RUS,Mercedes,89.867,0.4740484429065744,4
2024,Singapore Grand Prix,LEC,Ferrari,89.747,0.7647058823529411,5
2024,Singapore Grand Prix,HAM,Mercedes,89.841,0.5397923875432526,6
2024,Singapore Grand Prix,SAI,Ferrari,90.108,0.5951557093425606,7
2024,Singapore Grand Prix,ALO,Aston Martin,90.214,0.20069204152249134,8
2024,Singapore Grand Prix,HUL,Haas F1 Team,90.115,0.06920415224913495,9
2024,Singapore Grand Prix,PER,Red Bull Racing,90.579,0.44982698961937717,10
2024,Singapore Grand Prix,COL,Williams,90.481,0.01384083044982699,11
2024,Singapore Grand Prix,TSU,RB,90.289,0.0726643598615917,12
2024,Singapore Grand Prix,OCO,Alpine,90.769,0.01730103806228374,13
2024,Singapore Grand Prix,STR,Aston Martin,91.094,0.08304498269896193,14
2024,Singapore Grand Prix,ZHO,Kick Sauber,92.054,0.0,15
2024,Singapore Grand Prix,BOT,Kick Sauber,91.572,0.0,16
2024,Singapore Grand Prix,GAS,Alpine,91.312,0.02768166089965398,17
2024,Singapore Grand Prix,RIC,RB,91.085,0.02422145328719723,18
2024,Singapore Grand Prix,MAG,Haas F1 Team,90.653,0.020761245674740483,19
2024,Singapore Grand Prix,ALB,Williams,90.474,0.04152249134948097,20
2024,United States Grand Prix,LEC,Ferrari,92.74,0.752442996742671,1
2024,United States Grand Prix,SAI,Ferrari,92.652,0.5798045602605864,2
2024,United States Grand Prix,VER,Red Bull Racing,92.361,1.0,3
2024,United States Grand Prix,NOR,McLaren,92.33,0.8794788273615635,4
2024,United States Grand Prix,PIA,McLaren,92.95,0.7328990228013029,5
2024,United States Grand Prix,RUS,Mercedes,92.974,0.48534201954397393,6
2024,United States Grand Prix,PER,Red Bull Racing,93.02,0.42671009771986973,7
2024,United States Grand Prix,HUL,Haas F1 Team,93.544,0.07166123778501629,8
